Frequency [Hz],Re(Z) [Ohm],Im(Z) [Ohm]
1000019.3,32.566639,-5.3562617
791679.5,32.838432,-4.5559363
626757.69,33.088909,-3.9785924
496191.31,33.324127,-3.5230057
392831.94,33.51302,-3.2480052
310996.03,33.71452,-3.0492551
246210.89,33.896267,-3.0151377
194921.83,34.159927,-3.0252404
154316.38,34.442757,-3.1511521
122167.95,34.781769,-3.297653
96718.727,35.112247,-3.528739
76572.25,35.528713,-3.8142142
60615.219,36.010166,-4.1255341
47988.27,36.541134,-4.4965744
37998.035,37.154728,-4.9439783
30078.119,37.798656,-5.4159355
23808.59,38.621853,-5.9248943
18847.65,39.454376,-6.446115
14921.873,40.419537,-6.9303904
11816.404,41.347382,-7.4512539
9376.8232,42.321545,-8.065856
7540.0542,43.230339,-8.5907354
5965.6943,44.193058,-9.2289848
4641.4805,45.129765,-10.068538
3673.8215,45.964302,-11.154249
2909.0715,46.667198,-12.528494
2302.7881,47.385914,-14.381739
1823.2465,48.048893,-16.788643
1443.6169,48.753086,-19.908546
1142.4421,49.542889,-23.924547
904.70905,50.464802,-28.994614
716.14233,51.611652,-35.421219
566.99585,52.999996,-43.316376
448.99432,54.794666,-53.223164
355.34128,57.09602,-65.460007
281.35031,60.14896,-80.564308
222.79024,64.115227,-99.101791
176.29787,69.250397,-122.09112
139.59779,76.156914,-149.96429
110.53085,85.678795,-184.1115
87.453423,98.07338,-225.58868
69.268494,114.64243,-275.72586
54.842007,137.49805,-335.99716
43.40276,168.45428,-407.79752
34.373028,209.19025,-492.9848
27.221216,264.74579,-591.00702
21.551697,339.44235,-703.18719
17.05788,436.6756,-827.75763
13.500898,561.87006,-961.97205
10.68741,720.13947,-1096.9869
8.4642315,909.13849,-1220.5231
6.7002544,1121.1095,-1324.3745
5.3037996,1346.9888,-1422.7872
4.2002645,1570.0818,-1491.1316
3.324471,1782.3163,-1557.2
2.6331317,1979.4976,-1630.1451
2.0844412,2147.9304,-1731.913
1.6499459,2319.6177,-1876.0684
1.305349,2477.9182,-2070.4031
1.0334028,2685.926,-2334.8716
0.8182376,2915.8005,-2673.0132
0.64780265,3194.9983,-3058.5691
0.51333827,3649.5352,-3493.8818
0.40639266,4143.7798,-3965.0952
0.32150224,4695.7324,-4525.2139
0.25444552,5362.3652,-5081.0815
0.20143613,6154.6719,-5630.9248
0.15949383,6958.4106,-6129.9937
0.12635216,7950.1914,-6792.1997
0.10005087,9151.0127,-7463.6792
