Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032309155,-0.005376936
791679.5,0.032636116,-0.0046071891999999995
626757.69,0.032869827000000004,-0.0040086555
496191.31,0.033078247,-0.0036138611
392831.94,0.033287903,-0.0033092291
310996.03,0.033471416,-0.0031537948
246210.89,0.033711838,-0.0030958598
194921.83,0.033928631,-0.0031331131000000003
154316.38,0.034219326,-0.0032797146
122167.95,0.034508045,-0.0034505851
96718.727,0.034888171999999995,-0.0037380860000000003
76572.25,0.035277878,-0.0040906401
60615.219,0.035728401,-0.0045222716
47988.27,0.036273514,-0.0050390716
37998.035,0.036853423999999996,-0.0056360068
30078.119,0.037558861,-0.0062900696
23808.59,0.038332813,-0.0070442472
18847.65,0.039203262,-0.0078438168
14921.873,0.040137642,-0.008722747800000001
11816.404,0.041149628,-0.0097648191
9376.8232,0.042190201000000004,-0.010953047
7540.0542,0.043230541000000004,-0.012193013
5965.6943,0.044383549,-0.013741315
4641.4805,0.045652409,-0.015756108
3673.8215,0.046862514,-0.018108440000000003
2909.0715,0.048091129,-0.021007992000000003
2302.7881,0.049413086,-0.024699007000000002
1823.2465,0.050861095,-0.02923238
1443.6169,0.052548687000000004,-0.03491713
1142.4421,0.054503276999999996,-0.041904648
904.70905,0.056799118,-0.050504601
716.14233,0.059571968,-0.061113789
566.99585,0.062854645,-0.07414225
448.99432,0.066817223,-0.090043983
355.34128,0.071840492,-0.10959837
281.35031,0.077871964,-0.13359123
222.79024,0.08561648599999999,-0.16309105
176.29787,0.095576355,-0.19905396
139.59779,0.10857832,-0.24303902
110.53085,0.12571664,-0.29663095
87.453423,0.14895657,-0.36174442
69.268494,0.18030312,-0.43923813
54.842007,0.22213425,-0.53192712
43.40276,0.27925763000000003,-0.64055096
34.373028,0.35606262,-0.76506744
27.221216,0.45802969000000004,-0.90393683
21.551697,0.5917583,-1.0517562
17.05788,0.76285284,-1.1948293
13.500898,0.96537598,-1.3357584999999998
10.68741,1.1939167,-1.4603315000000001
8.4642315,1.4345714,-1.5605038
6.7002544,1.6821387,-1.6519225
5.3037996,1.9275963,-1.7486975
4.2002645,2.1777119,-1.8600640000000002
3.324471,2.4296990000000003,-1.9875945
2.6331317,2.7111494,-2.1357371
2.0844412,3.0087468,-2.3214843999999997
1.6499459,3.3838203,-2.5230999
1.305349,3.7549281999999997,-2.7224309
1.0334028,4.2582803,-2.9256128
0.8182376,4.7946147,-3.08798
0.64780265,5.3533486,-3.211624
0.51333827,5.9565679000000005,-3.2794319
0.40639266,6.5737988,-3.2985059000000003
0.32150224,7.1708135,-3.2273083000000002
0.25444552,7.768956500000001,-3.1228002999999998
0.20143613,8.2843125,-2.9573381
0.15949383,8.8259443,-2.7671345
0.12635216,9.364342800000001,-2.5799279999999998
0.10005087,9.8288477,-2.3520203000000004
