Frequency [Hz],Re(Z) [Ohm],Im(Z) [Ohm]
1000019.3,32.524349,-14.29488
791679.5,34.02647,-12.007009
626757.69,35.063892,-10.11515
496191.31,35.785934,-8.5841188
392831.94,36.307926,-7.4345379
310996.03,36.773727,-6.6530995
246210.89,37.234467,-6.1229563
194921.83,37.763359,-5.7736211
154316.38,38.345768,-5.5937705
122167.95,38.959965,-5.4716983
96718.727,39.709145,-5.3702722
76572.25,40.481613,-5.3285794
60615.219,41.306496,-5.2224474
47988.27,42.114307,-5.0628166
37998.035,42.897663,-4.8608642
30078.119,43.635777,-4.6105199
23808.59,44.290451,-4.3527894
18847.65,44.860718,-4.0778484
14921.873,45.359951,-3.832449
11816.404,45.770569,-3.6962738
9376.8232,46.10371,-3.5967989
7540.0542,46.426949,-3.5611784
5965.6943,46.698612,-3.6653228
4641.4805,46.997944,-3.8905871
3673.8215,47.257702,-4.2249184
2909.0715,47.526161,-4.7060761
2302.7881,47.797691,-5.343298
1823.2465,48.080616,-6.2005816
1443.6169,48.445721,-7.312789
1142.4421,48.81823,-8.6505203
904.70905,49.25275,-10.363478
716.14233,49.796856,-12.485625
566.99585,50.43441,-15.064437
448.99432,51.152637,-18.268297
355.34128,52.095821,-22.272167
281.35031,53.230118,-27.046148
222.79024,54.598846,-32.865047
176.29787,56.243282,-40.052097
139.59779,58.325134,-48.762783
110.53085,60.895657,-59.411312
87.453423,64.164673,-72.402489
69.268494,68.273415,-88.199265
54.842007,73.456093,-107.47063
43.40276,80.31884,-130.97423
34.373028,88.961426,-159.26314
27.221216,100.39522,-193.85405
21.551697,115.53886,-235.48059
17.05788,135.57234,-285.24808
13.500898,162.34564,-344.59122
10.68741,197.93321,-414.11679
8.4642315,244.82323,-494.0011
6.7002544,306.74905,-583.49823
5.3037996,384.51239,-681.82019
4.2002645,482.53757,-781.76617
3.324471,598.50085,-886.24939
2.6331317,726.1391,-988.48535
2.0844412,864.4928,-1096.4995
1.6499459,1006.1713,-1202.8633
1.305349,1144.6428,-1322.3091
1.0334028,1283.2867,-1459.4158
0.8182376,1431.0365,-1645.5303
0.64780265,1581.8597,-1860.61
0.51333827,1767.1846,-2144.5586
0.40639266,1963.3752,-2491.5791
0.32150224,2196.4456,-2898.1719
0.25444552,2523.8838,-3384.6128
0.20143613,2900.6062,-3923.4766
0.15949383,3486.4104,-4537.8516
0.12635216,4133.7622,-5176.709
0.10005087,4868.6553,-5893.6982
