Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.035001698,-0.015263631
791679.5,0.036570293000000004,-0.012823802
626757.69,0.037635883,-0.010859548
496191.31,0.03849720400000001,-0.0093274307
392831.94,0.039182819,-0.008170923200000001
310996.03,0.039803177,-0.0073327122
246210.89,0.040440243,-0.0067314267
194921.83,0.041125725,-0.0062436852
154316.38,0.041885185,-0.005811768500000001
122167.95,0.042639355000000004,-0.005413751600000001
96718.727,0.043389674999999996,-0.005034071
76572.25,0.044082283,-0.0045798745
60615.219,0.044676552,-0.0041552348
47988.27,0.045218754,-0.0037402098000000003
37998.035,0.045648136,-0.0033071980000000003
30078.119,0.046004341,-0.0030051386
23808.59,0.046268234,-0.0027245491
18847.65,0.046480389000000004,-0.002493453
14921.873,0.046663292,-0.0023951843
11816.404,0.046848774,-0.0023401926
9376.8232,0.047008804,-0.0023557742
7540.0542,0.047106513999999995,-0.0025008442
5965.6943,0.047263706,-0.0027234714000000004
4641.4805,0.047435978,-0.0030525601
3673.8215,0.047641075000000005,-0.0034875932000000003
2909.0715,0.047854874000000006,-0.0040611734000000005
2302.7881,0.048098057,-0.0047407498
1823.2465,0.048366104,-0.0056231151
1443.6169,0.048690536,-0.0066904664
1142.4421,0.049069336,-0.0080303822
904.70905,0.049480755,-0.0096755476
716.14233,0.050015823,-0.011712328
566.99585,0.050608353,-0.01419562
448.99432,0.051357067,-0.017222143
355.34128,0.052266327,-0.020922977
281.35031,0.053344437,-0.02553039
222.79024,0.054706829,-0.031085142000000003
176.29787,0.056319664000000005,-0.037876408
139.59779,0.058390324,-0.046207119
110.53085,0.060898922,-0.056307537000000005
87.453423,0.064122017,-0.068633293
69.268494,0.068260254,-0.083633392
54.842007,0.073408707,-0.10194778
43.40276,0.080078819,-0.12417363000000001
34.373028,0.088909508,-0.15087289
27.221216,0.10061069,-0.18325129999999998
21.551697,0.11587357000000001,-0.22214177000000002
17.05788,0.136517,-0.26812238000000005
13.500898,0.1639942,-0.32228754
10.68741,0.20009572,-0.38554572000000004
8.4642315,0.24646661,-0.45935678
6.7002544,0.30748694,-0.54000415
5.3037996,0.38447012,-0.63156824
4.2002645,0.4798172,-0.7290427899999999
3.324471,0.59496771,-0.82548352
2.6331317,0.72932867,-0.92143414
2.0844412,0.8727835700000001,-0.99599103
1.6499459,1.0215635,-1.0756906
1.305349,1.173474,-1.1535591
1.0334028,1.3089780000000002,-1.2312555
0.8182376,1.4668242,-1.3570156
0.64780265,1.5933834999999998,-1.493363
0.51333827,1.7222332,-1.6657089
0.40639266,1.934879,-1.9324502000000001
0.32150224,2.1642042999999997,-2.2477123999999997
0.25444552,2.4151365,-2.6516037999999997
0.20143613,2.7749338,-3.1233208
0.15949383,3.2075925,-3.7008579
0.12635216,3.7860237000000003,-4.3642646
0.10005087,4.4601426,-5.0132588
