Frequency [Hz],Re(Z) [mA/cm2],Im(Z) [mA/cm2]
26326.546437082467,-0.07621716658115629,0.43615531269573915
22682.298958918305,-0.11785493899092302,0.5087711248677902
19540.706305328513,-0.1582861620907,0.5453527361542915
16838.93662324129,-0.21273078946427434,0.6108383824653995
14514.158059584845,-0.27749106010723046,0.6801952151527629
12503.538761287376,-0.3458157511952405,0.730540953477721
10807.078728348888,-0.45083172321760695,0.8246326346161359
9299.114254625787,-0.5348760839054836,0.8578181691835827
7979.645340118074,-0.6440804823805548,0.9075220689626498
6911.503837897545,-0.7861904151935434,0.9780636836755001
5943.893300591889,-0.9003135703797712,0.9836430374425658
5120.796025351363,-1.055432238759303,1.0037195257968106
4410.79608564007,-1.2237690565946255,1.0239957137301257
3801.3271108436497,-1.3608389281922266,0.9733514647286976
3273.5395450405645,-1.543582866144849,0.947395808328089
2821.1502029236344,-1.6989474970254987,0.8699149675543975
2431.5927138785,-1.7974674178966146,0.7712708465597282
2092.300707290802,-1.925947305109835,0.6606191695689353
1803.2741831605413,-2.0374873487747744,0.5200157186433876
1551.9467708733578,-2.1138774699194722,0.3725587339466295
1338.3184704292519,-2.190395715334622,0.22553988438542025
1156.1060965210438,-2.1726419308821097,0.08016728406833167
992.7432785343747,-2.1996680001008784,-0.10819654734673799
854.5132017764238,-2.156872691245041,-0.2648111895194601
741.4158662471912,-2.0847239726419637,-0.42447856771382175
634.6017160251382,-2.0208141129775656,-0.5730195387757714
547.89375878606,-1.8967899023325145,-0.7017311090793621
472.4955350999049,-1.7740286115718389,-0.8047445679074852
407.15040790523716,-1.635592785799355,-0.8946895848573163
350.6017401406209,-1.4773336545118505,-0.963808258824116
302.22121327533813,-1.3104053489644398,-1.001570702884855
260.12387171723486,-1.149364402530045,-1.018534311536314
224.30971546631125,-0.9768961192327446,-1.0078072355928334
193.52210746113127,-0.8349479387306707,-0.9881867648222178
166.50441064025904,-0.6985242798393199,-0.9355982949402193
143.25662500369458,-0.5658048526886285,-0.8738783405819746
123.77875055143784,-0.4631542538785707,-0.8131474254536135
106.185831691335,-0.3623786493130438,-0.7278532078472775
91.73450548482195,-0.2990585869967227,-0.662555671147677
79.16813487046278,-0.2350331340363616,-0.5903260948213902
67.85840131753953,-0.1805584849268834,-0.5276719486521982
58.68495076905734,-0.15466764268889024,-0.46952975431265653
50.57964172279567,-0.10849827233430417,-0.40765904234983635
43.54247417875453,-0.09046773475552114,-0.35636501517003744
37.51061628386213,-0.0733804480361954,-0.32141203716420164
32.358404331974874,-0.05911705835598723,-0.2714963830026536
27.834510910805566,-0.044605833700372466,-0.2378324516779304
24.00176787342602,-0.0415975508905329,-0.21312089634174847
20.67167966062084,-0.02586584074181962,-0.17676736286781955
17.844246272390023,-0.025549405704307682,-0.15448175169566133
15.33097214951819,-0.023317985644696244,-0.13871954741067544
13.257520998148927,-0.01811575275778342,-0.1212317928919046
11.37256540599505,-0.018756469083409864,-0.1023472462555258
